,OR,log_OR,p-value,2.5%,97.5%
Beta_channel52,1.012663085799245,0.012583579422107872,0.03813795879592411,1.0006885080828782,1.0247809553694973
Gamma_channel54,1.0123059841989932,0.012230881092790651,0.21413336830414575,0.9929589358220691,1.0320299950739575
Gamma_channel56,1.0109827914445924,0.010922918572592097,0.16841496615088003,0.9953899067255861,1.0268199402979017
Gamma_channel55,1.0105799064782768,0.010524330913586035,0.22141019472817736,0.9936753204707613,1.027772076389909
Beta_channel54,1.0102422604430712,0.010190163915742737,0.043031681663520796,1.0003195363797155,1.0202634135076176
Gamma_channel52,1.0096464228152102,0.009600193141529267,0.18496594495161067,0.9954165803219188,1.0240796860886925
Gamma_channel57,1.009511694639541,0.00946674328962873,0.12940552411221226,0.9972351069278247,1.021939414822223
Beta_channel51,1.0083015481584159,0.008267279830329584,0.03247758521305299,1.0006903837553918,1.0159706024187927
Gamma_channel58,1.0081275411335435,0.008094690547395497,0.1811177417124935,0.9962382915962118,1.0201586786667027
Gamma_channel51,1.007087559778935,0.00706256107748308,0.30196386928924845,0.9936725226747907,1.020683706067845
Alpha_channel52,1.0051905657916569,0.005177141239015844,0.04524771980746969,1.0001095818808827,1.0102973632712333
Beta_channel56,1.004976184695943,0.00496384441030777,0.11315689934403486,0.9988231469961871,1.0111671268766358
Gamma_channel17,1.004856565252971,0.004844810184085509,0.25405858619681776,0.9965253332590158,1.0132574486890127
Beta_channel57,1.0047449881993855,0.004733766227627057,0.09228295232240788,0.9992228460623224,1.0102976481072363
Gamma_channel53,1.0044657500993686,0.00445580822502221,0.2551889359027809,0.9967856936634429,1.0122049800038078
Beta_channel12,1.004367066848393,0.004357558883193122,0.061828639323115726,0.9997843264712274,1.0089708132653699
Gamma_channel50,1.0043426097419088,0.004333207821643159,0.24732387330988992,0.9969964511062285,1.0117428970022606
Gamma_channel68,1.0041094660461076,0.004101045252609089,0.2316589373886767,0.9973843607342567,1.010879917007275
Beta_channel55,1.0040141820603308,0.004006146727871145,0.18931580139863724,0.998026177139275,1.0100381140980856
Beta_channel50,1.0039694697245902,0.003961612166339046,0.06150731252084246,0.9998090530595924,1.008147198762159
Beta_channel45,1.0034298902024366,0.0034240215444425962,0.10404799546010779,0.9992958153085356,1.007581067714968
Gamma_channel69,1.0033442970602637,0.0033387173355605287,0.27179580776628465,0.9973875003431616,1.0093366701477502
Gamma_channel16,1.0033313103806543,0.0033257738587360243,0.5483889213862649,0.9924932826134151,1.0142876894233541
Gamma_channel47,1.003311493378548,0.0033060224589655757,0.26534775810607625,0.9974917454645019,1.0091651959252388
Beta_channel53,1.0032971528812766,0.003291729191268943,0.161735266797019,0.9986818228372066,1.0079338123126738
Beta_channel47,1.0032590042518272,0.003253705207421438,0.11030966073159477,0.9992602830127196,1.0072737270991445
Theta_channel52,1.003204276307432,0.0031991535543320934,0.07505018236941259,0.9996769187596811,1.00674408012761
Gamma_channel15,1.0032033136767067,0.0031981939978289074,0.2645590614273784,0.9975827135570683,1.008855581491941
Gamma_channel67,1.0028733917545458,0.0028692714553936608,0.2182381429215554,0.9983031790344833,1.00746452682039
Gamma_channel13,1.0028588964043201,0.002854817532194159,0.2019799897999609,0.9984706878863526,1.0072663907903967
Gamma_channel12,1.0027871670335564,0.0027832900856501384,0.4275824715481754,0.9959154347227551,1.0097063137164066
Gamma_channel11,1.002773017157715,0.0027691794387065087,0.24264380590137336,0.998125719880505,1.007441952362445
Gamma_channel46,1.0027517415231497,0.00274796241361232,0.2848979481459105,0.9977141079543547,1.00781481098763
Gamma_channel19,1.0027111920435765,0.0027075233918781943,0.34344512428567153,0.9971103135575929,1.008343531281082
Gamma_channel45,1.0025261903526481,0.0025230048973822346,0.3735814177597462,0.9969700826163366,1.0081132622409594
Beta_channel11,1.0024684722331647,0.002465430560077186,0.058935878579444684,0.9999069404866837,1.0050365660351956
Gamma_channel75,1.0023777309692286,0.0023749086398887074,0.3391440328317493,0.9975083240980498,1.0072709081916957
Beta_channel46,1.0023036850331926,0.00230103561899013,0.1689624263086631,0.9990228523805149,1.0055952920769355
Beta_channel58,1.0022532868849738,0.0022507520411868646,0.20153212115390218,0.9987975157098166,1.0057210147923288
Alpha_channel54,1.0022369168398746,0.002234418666177991,0.07088929457371639,0.9998097805134578,1.004669945277833
Alpha_channel12,1.0021587468113347,0.0021564200654054675,0.0686392872816913,0.9998351811540876,1.004487712315942
Alpha_channel51,1.0021579649075796,0.00215563984564239,0.07369682557247835,0.9997933476927358,1.004528174692714
Alpha_channel57,1.0021439879447298,0.0021416928823814467,0.05938393640221874,0.9999152329687627,1.004377710690543
Alpha_channel53,1.0021129350491442,0.0021107059413043886,0.06193002082998903,0.9998946650293339,1.004336126309214
Alpha_channel47,1.002084720660472,0.00208255064574882,0.11259330957488074,0.9995101185389172,1.004665954606919
Beta_channel16,1.0020737452699044,0.0020715980282247125,0.29731621609972125,0.9981774305331137,1.0059852689946607
Beta_channel68,1.002073241538494,0.0020710953391368594,0.14057201425625698,0.9993167853326603,1.0048373009897915
