,OR,log_OR,p-value,2.5%,97.5%
Gamma_channel45,1.0067976335695659,0.006774633828869645,0.14063484987202535,0.9977654884042724,1.0159115410800548
Beta_channel45,1.0063532872682754,0.0063331902153708946,0.0362544240915779,1.0004056435327502,1.0123362911262002
Gamma_channel46,1.0060709145573616,0.006052560800846187,0.11522983882390736,0.9985222676905106,1.013676627822594
Gamma_channel53,1.0050927627316313,0.005079838477046919,0.22896928645196635,0.9968088396539679,1.0134455288801292
Gamma_channel68,1.0048169979664179,0.004805433354651683,0.17918221148623004,0.9977962997326438,1.011887095264613
Gamma_channel49,1.0047507708726857,0.004739521575230066,0.17838236704875543,0.997839184622061,1.0117102305935408
Gamma_channel57,1.0046646091728717,0.004653763597340186,0.22801611167764813,0.9970915788145402,1.0122951576068009
Beta_channel46,1.004481073310051,0.004471063193948659,0.0997127478495283,0.9991483375642477,1.0098422713666702
Gamma_channel47,1.0043443144487227,0.004334905156148846,0.2085727407559438,0.9975813656860674,1.0111531115777765
Gamma_channel43,1.0040730132273967,0.004064740963440913,0.1670773345433768,0.9983001026754673,1.0098793070236542
Beta_channel49,1.0040149648575498,0.004006926395058988,0.11524633787656773,0.9990212386507458,1.009033652797362
Gamma_channel48,1.003962137692564,0.003954309096852725,0.11201125729362336,0.9990779302774966,1.0088702226064235
Gamma_channel11,1.0035827147065166,0.003576312072166984,0.15157212225739541,0.9986891382159309,1.0085002697205017
Gamma_channel42,1.0035096745338725,0.0035035299988873093,0.13963101548219625,0.9988555606618807,1.0081854739996443
Gamma_channel69,1.0034547125874613,0.0034487587764603735,0.24474600563950166,0.9976405003833729,1.0093028098067842
Alpha_channel46,1.0033333829970106,0.0033278395913551055,0.09009918314867096,0.9994796400733179,1.007201984987288
Gamma_channel67,1.0032874028701104,0.00328201117451425,0.1683404588252606,0.998613381489578,1.0079833010612993
Gamma_channel41,1.002954674899967,0.002950318427282104,0.07988932238642908,0.9996485910018393,1.0062716928311535
Alpha_channel45,1.0028585915625807,0.0028545135594350833,0.029240783059522286,1.0002884238417675,1.0054353631407973
Gamma_channel6,1.002710319165352,0.0027066528734163726,0.1529225865209588,0.99899554984431,1.00643890187236
Gamma_channel39,1.0024840829117305,0.0024810026777574786,0.052920214116675496,0.9999687342545375,1.0050057587456147
Beta_channel42,1.0023482152077894,0.0023454624589805398,0.05158009923548701,0.9999839242205724,1.0047180961567417
Beta_channel48,1.0022794275599,0.002276833605971963,0.11521706083333752,0.9994439543387068,1.005122945162525
Gamma_channel10,1.0022787130567918,0.0022761207275636703,0.13528561135019454,0.9992895116628072,1.0052768561287082
Theta_channel45,1.0022375113705302,0.0022350118697102954,0.11342050635224625,0.9994679196540137,1.0050147778088916
Theta_channel46,1.0021944432121384,0.002192038938351796,0.10424372083961857,0.9995476339836668,1.0048482612102312
Gamma_channel13,1.00217115235959,0.0021687988142937175,0.27075170171485863,0.9983105709798951,1.0060466630498848
Gamma_channel44,1.0021574098154775,0.002155085948676627,0.10439148601127797,0.9995541497189118,1.0047674498980321
Beta_channel43,1.0020995354965718,0.0020973345520234913,0.10482282426164205,0.9995629475313622,1.0046425605536335
Gamma_channel77,1.0020855112107985,0.0020833395511161163,0.23164620295758354,0.9986704867246207,1.0055122136151646
Gamma_channel70,1.002072061657442,0.0020699178985087306,0.22911390853452673,0.9986973973889444,1.0054581291387192
Gamma_channel3,1.0020593456032652,0.002057228057782011,0.10999670401180438,0.9995344526939319,1.0045906165660878
Beta_channel47,1.001995399268338,0.0019934111035669103,0.17831841585769925,0.9990910331775904,1.0049082083758967
Gamma_channel50,1.001916680396478,0.0019148459083178217,0.3323706613443279,0.9980450622092827,1.0058033173718572
Beta_channel53,1.0019025124604475,0.0019007049757614547,0.15286700325347938,0.9992948874902003,1.0045169419366224
Gamma_channel52,1.0017313964564927,0.0017298993174928896,0.4637830995040634,0.9971062023937821,1.0063780450243165
Gamma_channel84,1.0017053829311047,0.0017039304167948508,0.08093878452786539,0.9997904076711399,1.0036240260900795
Theta_channel49,1.001685081866949,0.0016836637094172883,0.1130260921587083,0.9996014290936807,1.0037730779802256
Beta_channel57,1.0016653251745233,0.0016639400581212203,0.32659005914124406,0.9983409096126116,1.0050008108415684
Alpha_channel49,1.0016603817370362,0.0016590048271997362,0.0722715168231568,0.9998499682381248,1.003474073324802
Gamma_channel7,1.0016502294190792,0.0016488692866595453,0.17377130358192427,0.9992731892528576,1.004032924014953
Gamma_channel8,1.0016498314276954,0.0016484719508917211,0.25870820314431575,0.9987885691240938,1.004519290483065
Gamma_channel107,1.0015837396096015,0.0015824868165833668,0.11736803416769316,0.9996018627509478,1.0035695458685785
Beta_channel11,1.001566825203468,0.0015655990135085692,0.13556379336127902,0.9995097837012555,1.0036281002007503
Beta_channel3,1.0015553808940776,0.0015541725420176685,0.09638859849413012,0.9997220890461157,1.0033920346353464
