,OR,log_OR,p-value,2.5%,97.5%
Slope_Delta_channel30,153.6886779440634,5.034928984487508,0.11099788846518376,0.3144173471642287,75123.74855022418
Slope_Delta_channel86,44.08099924545387,3.786028833495479,0.1280392498849013,0.33627143832910555,5778.470226710054
Slope_Delta_channel31,33.218636149690965,3.5031110482457657,0.1782401203460069,0.20246774894782793,5450.141039153355
Slope_Delta_channel54,33.17218867748722,3.5017118344266107,0.14587660492523521,0.29590640296297727,3718.7235241830463
Slope_Delta_channel83,22.403244015145845,3.1092057704800107,0.24193549217402832,0.1226331050679886,4092.7394126072963
Slope_Delta_channel78,22.236721656287955,3.101745050975813,0.17262813382368414,0.257726872431353,1918.588408552279
Slope_Delta_channel36,21.72943130606798,3.0786676230132177,0.307964422783803,0.05842677357711787,8081.366742969458
Slope_Delta_channel88,18.729709225941647,2.9301109918262354,0.17526987588074727,0.27069822544847966,1295.9154316846073
Slope_Delta_channel19,12.900440248664056,2.5572614385887014,0.28695074679412946,0.11651861314712392,1428.2813201631336
Slope_Beta_channel75,11.975422414834997,2.482856417400101,0.06568598044794276,0.8512313527946261,168.474459432103
Slope_Delta_channel27,11.183690015976241,2.4144564683670167,0.3817795771550422,0.049978437440181434,2502.577687090503
Slope_Beta_channel2,10.552031389688844,2.3563183901726097,0.0889320322396209,0.6986272236059337,159.37736562035826
Slope_Delta_channel32,9.90157898440859,2.2926942377974333,0.3228672402327858,0.10510450765777547,932.7979224612153
Slope_Beta_channel36,9.44603831403911,2.2455954275782455,0.0619827129287916,0.893553711744628,99.8570524161121
Slope_Delta_channel24,8.560879560879222,2.147202937314142,0.4289563223433801,0.0418633605915347,1750.663535375598
Slope_Delta_channel29,8.523435507722132,2.1428194881723015,0.45741067950008807,0.029931485940780787,2427.1749487490815
Slope_Beta_channel11,8.014341702882191,2.081232649548317,0.0919820058900202,0.7120738343208238,90.20086097085547
Slope_Beta_channel50,7.360015906554766,1.9960620939551297,0.10800214828636467,0.645288647128119,83.94667159545425
Slope_Delta_channel58,6.925172612156541,1.935162977705939,0.3286726297395868,0.14258648074023006,336.3433577937517
Slope_Delta_channel49,6.553069531476365,1.8799335706338105,0.369173862430781,0.10827438882703626,396.61013790586304
Slope_Beta_channel77,6.287566706530716,1.8385741447581614,0.1139422648105582,0.6433224689454632,61.452066416826646
Slope_Delta_channel69,5.9873897397308555,1.7896555474912077,0.45709700395228203,0.05354394709446955,669.521726371515
Slope_Beta_channel65,5.935332658209426,1.7809230767367767,0.05883118024057984,0.9356993808520442,37.649029682512705
Slope_Delta_channel68,5.381775986971987,1.683018428802271,0.42083780225041134,0.08938073269235819,324.04649079839766
Slope_Beta_channel26,5.214274792578331,1.65140001695692,0.10024106126645374,0.7277758250081952,37.35856657812401
Slope_Beta_channel38,5.129603617961259,1.6350283887434491,0.13048845962199854,0.6162123005744364,42.70092182981787
Slope_Gamma_channel40,5.058814543538915,1.6211321759185229,0.35655806939592016,0.16117888698917654,158.7776480156447
Slope_Beta_channel64,5.008499104273095,1.611136290228315,0.08370590695283,0.8068557707440188,31.089897584016683
Slope_Delta_channel47,4.685610243515439,1.544496161960467,0.4728895623112037,0.06905446627274399,317.9366164010524
Slope_Beta_channel1,4.684699215396165,1.544301712006356,0.2330996704255921,0.3700704224117694,59.30332555546457
Slope_Beta_channel52,4.641917085468149,1.5351274458806035,0.10535693300298744,0.7241053846441811,29.757262803603254
Slope_Beta_channel66,4.535424783317071,1.5119187469461652,0.12542813893360216,0.6558181042745966,31.365523200795682
Slope_Beta_channel61,4.430103039228517,1.488422843206078,0.1126165303354765,0.7044566871602747,27.85950264351252
Slope_Beta_channel60,4.3914674385756225,1.4796634397000734,0.11633591633248568,0.6927228880227159,27.839395229333814
Slope_Delta_channel23,4.385023060256366,1.4781948847057267,0.5598964473844537,0.03046038725941376,631.2601043191783
Slope_Beta_channel111,4.373664462240745,1.475601207432953,0.15401573917421046,0.5750700898180375,33.263668493557645
Slope_Beta_channel13,4.347735624433359,1.4696551634621586,0.13897846836181862,0.6205633179351265,30.46071933942932
Slope_Delta_channel90,4.288419682465161,1.4559182926884078,0.4771096531706088,0.07747953802250042,237.36000294185908
Slope_Beta_channel41,4.2019893837204085,1.435558075937087,0.22187124164920036,0.41989664743491983,42.05014469336922
Slope_Beta_channel83,4.052618496340698,1.399363214506361,0.138723708274807,0.635647050189459,25.837792642925887
Slope_Delta_channel48,3.9472637450703583,1.3730226161027546,0.45630917395254955,0.10651613087126405,146.27729101405316
Slope_Delta_channel99,3.8781448007972386,1.355356895163406,0.5863882463322184,0.029389132560799752,511.75403237356994
Slope_Beta_channel25,3.804694086038941,1.3362355901942966,0.18056675785832677,0.5381249929101551,26.900250460503216
Slope_Beta_channel76,3.785071385026204,1.331064746692068,0.15163171419248989,0.6135622276346171,23.35014240523935
Slope_Beta_channel22,3.730771941755384,1.316615167137719,0.1540893131265623,0.6101951704275729,22.810176081263027
Slope_Beta_channel84,3.692987761736968,1.3064358219567218,0.23160776916913173,0.43426542795448514,31.405121684631137
Slope_Beta_channel23,3.620127741938956,1.28650931304352,0.1389114483035325,0.6587707103892158,19.893605865101595
Slope_Beta_channel110,3.6067501126423247,1.2828071210747207,0.17908450133693743,0.5551567372003127,23.432384952488864
Slope_Delta_channel91,3.5658174359170016,1.271393322369605,0.5859630860663364,0.03675685586472057,345.92333014243667
Slope_Delta_channel10,3.564786985942649,1.27110430059233,0.6445391490051751,0.016101847752426315,789.2079499528996
Slope_Beta_channel21,3.564612360964874,1.271055313302009,0.18160306140743043,0.552190614596753,23.011005526094802
Slope_Beta_channel112,3.5082338989164095,1.255112748147066,0.19869724687262003,0.5174408094190251,23.78572556603168
Slope_Gamma_channel42,3.4989699049467,1.2524686123044635,0.5531904472861728,0.05572947077690209,219.68251671962634
Slope_Beta_channel63,3.2856052351455283,1.1895508770195244,0.18970286057711838,0.5553132097995849,19.439843264509673
Slope_Delta_channel11,3.2535364905757267,1.1797425556809156,0.6556237876683776,0.01822231780754769,580.9085214792653
Slope_Delta_channel93,3.208986894603455,1.1659552781690705,0.6164648957609558,0.03348706175192935,307.5097172161851
Slope_Beta_channel113,3.1780554875479585,1.1562695278576207,0.23052903736215313,0.48005775834242,21.039211441572917
Slope_Beta_channel73,3.027733097332715,1.1078141868199094,0.22415675936157664,0.5074094520242743,18.066608085663727
