,OR,log_OR,p-value,2.5%,97.5%
Slope_Gamma_channel42,12.57081627482997,2.5313779588254937,0.26908018464093086,0.14116287015034384,1119.4545821236627
Slope_Gamma_channel40,8.644724132359608,2.1569492079678687,0.2424962218053579,0.23220443631638496,321.83388272038513
Slope_Gamma_channel43,4.2535207805071,1.4477470589295909,0.4950852664887605,0.06644539076475527,272.2903548608901
Slope_Alpha_channel43,3.404798787468719,1.2251858446009862,0.10441219320982102,0.7759906770290248,14.939167603833022
Slope_Delta_channel69,3.393933886028727,1.2219896869607616,0.6066148748035303,0.03240626520887007,355.44939068082425
Slope_Gamma_channel7,3.015931903979298,1.103908871634616,0.4648476858685222,0.15624090662329412,58.21679767495719
Slope_Alpha_channel73,2.765619731188938,1.0172647441055178,0.10628666784815173,0.8047666461308842,9.504186753159281
Slope_Alpha_channel4,2.380533852226391,0.8673247701883293,0.24183239017680447,0.5570597898142405,10.172950058889622
Slope_Beta_channel77,2.3563316938107968,0.8571060427264902,0.3928974884255684,0.32984776112625025,16.83291416712724
Slope_Alpha_channel34,2.2493336814142304,0.8106340307640725,0.24105912408720953,0.5800670714223075,8.722270681455413
Slope_Alpha_channel72,2.1823176881478568,0.7803874717478216,0.14708381264416281,0.7599309450560517,6.267030607171455
Slope_Gamma_channel5,2.1071003020011543,0.7453127378661112,0.6311785031958176,0.10050419464797808,44.17598388051632
Slope_Beta_channel38,2.1026174370048993,0.7431829671932645,0.4359357592377351,0.3241703055020691,13.637893450943597
Slope_Beta_channel64,2.0494983703866354,0.7175950658346569,0.3636390955093949,0.43578845309160935,9.638721587087293
Slope_Alpha_channel45,2.0340749797295947,0.7100411601374953,0.26608296079455884,0.5819895506158294,7.109167198593028
Slope_Alpha_channel75,1.9596915272280169,0.6727870767889156,0.25781789742753114,0.6110741390281258,6.284656208814812
Slope_Alpha_channel50,1.958937584102732,0.6724022773536193,0.26577269025182404,0.5993918076470584,6.402217063116515
Slope_Gamma_channel3,1.9358546765178088,0.6605489222548351,0.6782384993440012,0.08542752772658309,43.86798293625117
Slope_Alpha_channel82,1.9251504325759643,0.6550041114791547,0.23508113661764107,0.6529892649551502,5.675750562763048
Slope_Gamma_channel41,1.919662497198979,0.6521493878792339,0.671114113709762,0.09460449738765324,38.95273697245136
Slope_Alpha_channel42,1.8921732919596213,0.637726058380232,0.4098922291795317,0.41519211152644303,8.623284661267665
