,spearman_corr,p_val1,pearson_corr,p_val2
UPDRS III _Beta_channel85,-0.6769585990335395,0.001044314223396505,-0.5979546258729541,0.005358100211231223
UPDRS III _Alpha_channel85,-0.6423200055346042,0.002259695984255722,-0.6122121914092791,0.004115663491862694
Apathy_Alpha_channel52,0.6380425627003884,0.002469887336845336,0.21003866098793317,0.3741036878563093
UPDRS III _Beta_channel75,-0.6347898765130966,0.002640424812734123,-0.4931974415473801,0.02712700072719541
MoCA corretto_Gamma_channel75,-0.6325308378066443,0.002764549290727101,-0.3089167948618373,0.18508691557690343
UPDRS III _Beta_channel36,-0.6295187861980412,0.002937573891614271,-0.5085954257675889,0.022025705177339993
MoCA corretto_Alpha_channel7,-0.6159645539593274,0.0038317260687408578,-0.6526869258311897,0.001811431298143728
UPDRS III _Beta_channel89,-0.6137055152528751,0.0040006489833883455,-0.5931116404379975,0.005844553740885907
UPDRS III _Beta_channel87,-0.6046693604270659,0.004739242127068549,-0.5600761637254723,0.0102213992207022
Apathy_Beta_channel52,0.5958579304557347,0.005564438549124275,0.2943961151500957,0.20768571848415476
UPDRS III _Beta_channel76,-0.5941271797969552,0.005739650746234688,-0.5058629752595516,0.022870410359196798
UPDRS III _Beta_channel83,-0.5926211539926536,0.005895781533993972,-0.4670733712404412,0.037865437934437036
MoCA corretto_Alpha_channel13,-0.5903621152862013,0.0061365106246498305,-0.48369674862321427,0.03071135313906076
MoCA corretto_Alpha_channel6,-0.5858440378732968,0.0066422152533233934,-0.6605187884123666,0.001524463490221941
UPDRS III _Beta_channel37,-0.5858440378732968,0.0066422152533233934,-0.5176705337691386,0.01939647540276921
UPDRS III _Alpha_channel76,-0.5843380120689952,0.006818186827274068,-0.5416571976037696,0.013634342904504262
BDI_Alpha_channel3,0.584068417837212,0.006850087105579072,0.10653110128224215,0.6548599626637926
BDI_Gamma_channel112,-0.5764633603132899,0.007801654672959041,-0.30530466170040854,0.1905460392084823
BDI_Beta_channel42,0.5757028545608978,0.007902470851524535,0.06181200174134156,0.795728174169833
BDI_Gamma_channel63,-0.5734213373037211,0.008211324226730356,-0.3123880230281085,0.17994128089132655
UPDRS III _Alpha_channel87,-0.572289805634583,0.008368117057546686,-0.515821866527449,0.019910657988570276
Apathy_Beta_channel51,0.5717524263159325,0.008443430924423167,0.14859338142452255,0.5318217098880355
UPDRS III _Alpha_channel59,-0.5715367927324322,0.008473807074110936,-0.6706487428868566,0.0012107552176324919
UPDRS III _Alpha_channel67,-0.5602415992001706,0.010194241489888936,-0.4800667505619237,0.03217490972589795
MoCA corretto_Gamma_channel51,-0.5587355733958691,0.010443643541357406,-0.28380576740682173,0.2252741245279235
UPDRS III _Beta_channel59,-0.552711470178663,0.011491268255530204,-0.5798072191300438,0.007370766855684602
UPDRS III _Beta_channel54,-0.552711470178663,0.011491268255530204,-0.48604439674650757,0.02979296320256273
UPDRS III _Alpha_channel37,-0.5451813411571552,0.012918796283414878,-0.5460928872346331,0.012738738893992584
MoCA corretto_Gamma_channel50,-0.5451813411571552,0.012918796283414878,-0.1965397623997136,0.40625434248731884
MoCA corretto_Beta_channel6,-0.5436753153528537,0.01322077774442946,-0.6327896952564772,0.002750084294751966
UPDRS III _Beta_channel88,-0.5406632637442508,0.01384182361896211,-0.4783164398032419,0.03289982236391546
Apathy_Beta_channel45,0.5393606551280733,0.014117582722608053,0.4566360332050041,0.04297848086425286
UPDRS III _Alpha_channel11,-0.5368981992334969,0.014650958171493984,-0.27619904940987156,0.23848960536154173
BDI_Beta_channel3,0.5361565554365031,0.014814737487905304,0.04457110465210663,0.8519856772325193
BDI_Alpha_channel2,0.535396049684111,0.014984207662483972,0.07668749255113007,0.7479469399232856
BDI_Alpha_channel42,0.535396049684111,0.014984207662483972,0.07486914611664247,0.7537440934075839
BDI_Beta_channel2,0.5346355439317187,0.015155232626770154,0.001521800279139833,0.9949195460988631
UPDRS III _Alpha_channel75,-0.533133134722743,0.01549770885130144,-0.5062779677005806,0.022740492082318785
BDI_Beta_channel39,0.5315935209221501,0.015855085497246253,0.06515646300279704,0.7849178222437803
BDI_Beta_channel45,0.5293120036649733,0.01639680497514793,0.19556971496128117,0.4086211376446258
Apathy_Alpha_channel45,0.5288144970669099,0.016516879557623,0.5160144785195421,0.019856584146323387
UPDRS III _Beta_channel11,-0.5286150573098384,0.016565212322024566,-0.4512956951635785,0.04579255617140961
Apathy_Alpha_channel51,0.5273079030581722,0.016884804519791,0.14414231482886739,0.5443175556347528
MoCA corretto_Theta_channel7,-0.5256030057012354,0.01730904357847834,-0.6107875013975343,0.004227929048436486
UPDRS III _Alpha_channel79,-0.5256030057012354,0.01730904357847834,-0.5104454901884636,0.02146798182707581
BDI_Delta_channel63,-0.5239884633982279,0.01771862236628838,-0.24225366928142034,0.30344956733064754
UPDRS III _Alpha_channel110,-0.5225909540926323,0.018079368647954577,-0.4962392910539825,0.026051920500293715
MoCA corretto_Gamma_channel12,-0.5210849282883308,0.01847467331094132,-0.3818287088693939,0.09665793270423925
UPDRS III _Alpha_channel62,-0.5210849282883308,0.01847467331094132,-0.5221594092803954,0.018191943763059326
