,pearson_corr,p_val2
UPDRS III _Alpha_channel59,-0.6706487428868566,0.0012107552176324919
MoCA corretto_Beta_channel82,-0.6620186063483569,0.0014741181561054523
MoCA corretto_Alpha_channel6,-0.6605187884123666,0.001524463490221941
MoCA corretto_Alpha_channel7,-0.6526869258311897,0.001811431298143728
MoCA corretto_Gamma_channel82,-0.6482111455494465,0.0019948359873817752
MoCA corretto_Beta_channel7,-0.6439521078781024,0.002183537872686676
mH&Y_Gamma_channel52,-0.6406579639557192,0.002339518457584015
mH&Y_Beta_channel85,-0.6331189449458644,0.0027317768988977327
mH&Y_Beta_channel52,-0.6330735341643999,0.0027342958402452777
MoCA corretto_Beta_channel6,-0.6327896952564772,0.002750084294751966
mH&Y_Delta_channel67,-0.6317397553818956,0.0028091483803492135
MoCA corretto_Delta_channel13,-0.6230195604005244,0.0033417602124703656
mH&Y_Theta_channel47,-0.6210293692912049,0.003474385305913812
mH&Y_Delta_channel85,-0.6199500622540668,0.003548117206965194
mH&Y_Beta_channel59,-0.6193568946044801,0.0035891885332556732
mH&Y_Gamma_channel54,-0.6153130027175554,0.003879828638319217
UPDRS III _Alpha_channel85,-0.6122121914092791,0.004115663491862694
MoCA corretto_Gamma_channel6,-0.6108692964345839,0.0042214157967066825
MoCA corretto_Theta_channel7,-0.6107875013975343,0.004227929048436486
mH&Y_Gamma_channel50,-0.6103223582497095,0.004265126134007249
mH&Y_Theta_channel85,-0.6088329219449042,0.004386060522300518
mH&Y_Alpha_channel47,-0.6081761955926283,0.004440276270832382
MoCA corretto_Gamma_channel13,-0.6076012464240479,0.004488194490113613
mH&Y_Alpha_channel85,-0.6074841763842641,0.004498003670179708
MoCA corretto_Beta_channel13,-0.6034898931793385,0.004843451810261735
mH&Y_Delta_channel52,-0.6016301673180353,0.0050116007857587425
MoCA corretto_Delta_channel7,-0.6000677070376081,0.0051565665011588865
UPDRS III _Beta_channel85,-0.5979546258729541,0.005358100211231223
mH&Y_Gamma_channel56,-0.5970781866774637,0.005443571400119235
mH&Y_Alpha_channel77,-0.5959160764819579,0.00555862947077395
MoCA corretto_Gamma_channel7,-0.5937723813440537,0.005776123176181534
UPDRS III _Beta_channel89,-0.5931116404379975,0.005844553740885907
MoCA corretto_Theta_channel6,-0.5925189133498142,0.005906506185806243
mH&Y_Beta_channel54,-0.5856483800425112,0.0066648641090493056
MoCA corretto_Alpha_channel82,-0.5855750485000306,0.0066733690812295805
Apathy_Theta_channel43,0.5841383746984511,0.006841797591787017
UPDRS III _Beta_channel59,-0.5798072191300438,0.007370766855684602
MoCA corretto_Beta_channel84,-0.5794166987129953,0.007420061281795154
Apathy_Beta_channel43,0.5764179731174546,0.0078076417656202605
mH&Y_Beta_channel56,-0.5753200529221326,0.00795361807133186
mH&Y_Beta_channel50,-0.5741034568953951,0.008117969429523272
MoCA corretto_Delta_channel6,-0.5725850919635117,0.008326966530516984
mH&Y_Delta_channel54,-0.5724234719025268,0.00834946907949146
MoCA corretto_Delta_channel82,-0.5714754716153619,0.008482461597058072
Apathy_Alpha_channel43,0.565806293063655,0.009314313495674511
UPDRS III _Alpha_channel20,-0.5645282591983184,0.009510720786196383
mH&Y_Gamma_channel75,-0.5636235802118337,0.009651777408817548
MoCA corretto_Gamma_channel84,-0.5632789790638898,0.009705952681959461
UPDRS III _Beta_channel87,-0.5600761637254723,0.0102213992207022
mH&Y_Gamma_channel58,-0.5590414196116202,0.01039259793730855
mH&Y_Theta_channel52,-0.5584102608996249,0.01049816121607628
mH&Y_Delta_channel57,-0.5573469539834017,0.010677969564195776
Apathy_Delta_channel45,0.5495732560870564,0.012069808061715818
UPDRS III _Alpha_channel37,-0.5460928872346331,0.012738738893992584
mH&Y_Beta_channel75,-0.5451128400116222,0.01293240984702499
mH&Y_Delta_channel75,-0.5435102181378162,0.013254225683768932
Apathy_Delta_channel46,0.5423967873573339,0.013481588279837108
mH&Y_Gamma_channel51,-0.5419136428858456,0.01358121959944579
mH&Y_Beta_channel47,-0.5417744170327394,0.013610039853990017
UPDRS III _Alpha_channel76,-0.5416571976037696,0.013634342904504262
mH&Y_Delta_channel56,-0.5402227492745887,0.013934589486484537
UPDRS III _Alpha_channel36,-0.5400260598197377,0.013976170782021732
Apathy_Delta_channel49,0.5390946585072374,0.014174433693846692
