,spearman_corr,p_val1
UPDRS III _Beta_channel85,-0.6769585990335395,0.001044314223396505
UPDRS III _Alpha_channel85,-0.6423200055346042,0.002259695984255722
Apathy_Alpha_channel52,0.6380425627003884,0.002469887336845336
UPDRS III _Beta_channel75,-0.6347898765130966,0.002640424812734123
MoCA corretto_Gamma_channel75,-0.6325308378066443,0.002764549290727101
UPDRS III _Beta_channel36,-0.6295187861980412,0.002937573891614271
MoCA corretto_Alpha_channel7,-0.6159645539593274,0.0038317260687408578
UPDRS III _Beta_channel89,-0.6137055152528751,0.0040006489833883455
UPDRS III _Beta_channel87,-0.6046693604270659,0.004739242127068549
Apathy_Beta_channel52,0.5958579304557347,0.005564438549124275
UPDRS III _Beta_channel76,-0.5941271797969552,0.005739650746234688
UPDRS III _Beta_channel83,-0.5926211539926536,0.005895781533993972
MoCA corretto_Alpha_channel13,-0.5903621152862013,0.0061365106246498305
MoCA corretto_Alpha_channel6,-0.5858440378732968,0.0066422152533233934
UPDRS III _Beta_channel37,-0.5858440378732968,0.0066422152533233934
UPDRS III _Alpha_channel76,-0.5843380120689952,0.006818186827274068
BDI_Alpha_channel3,0.584068417837212,0.006850087105579072
BDI_Gamma_channel112,-0.5764633603132899,0.007801654672959041
BDI_Beta_channel42,0.5757028545608978,0.007902470851524535
BDI_Gamma_channel63,-0.5734213373037211,0.008211324226730356
UPDRS III _Alpha_channel87,-0.572289805634583,0.008368117057546686
Apathy_Beta_channel51,0.5717524263159325,0.008443430924423167
UPDRS III _Alpha_channel59,-0.5715367927324322,0.008473807074110936
UPDRS III _Alpha_channel67,-0.5602415992001706,0.010194241489888936
MoCA corretto_Gamma_channel51,-0.5587355733958691,0.010443643541357406
UPDRS III _Beta_channel59,-0.552711470178663,0.011491268255530204
UPDRS III _Beta_channel54,-0.552711470178663,0.011491268255530204
UPDRS III _Alpha_channel37,-0.5451813411571552,0.012918796283414878
MoCA corretto_Gamma_channel50,-0.5451813411571552,0.012918796283414878
MoCA corretto_Beta_channel6,-0.5436753153528537,0.01322077774442946
UPDRS III _Beta_channel88,-0.5406632637442508,0.01384182361896211
Apathy_Beta_channel45,0.5393606551280733,0.014117582722608053
UPDRS III _Alpha_channel11,-0.5368981992334969,0.014650958171493984
BDI_Beta_channel3,0.5361565554365031,0.014814737487905304
BDI_Alpha_channel2,0.535396049684111,0.014984207662483972
BDI_Alpha_channel42,0.535396049684111,0.014984207662483972
BDI_Beta_channel2,0.5346355439317187,0.015155232626770154
