,pearson_corr,p_val2
MoCA corretto_Slope_Gamma_channel7,-0.6184915342039768,0.0036498133221037204
mH&Y_Slope_Theta_channel55,0.6094228265821271,0.004337828821116559
mH&Y_Slope_Theta_channel75,0.5960314728728423,0.005547115575956463
mH&Y_Slope_Theta_channel40,0.5933847224764371,0.0058161912498518875
MoCA corretto_Slope_Gamma_channel8,-0.5877501944342529,0.006424847924222934
mH&Y_Slope_Alpha_channel102,-0.5820052873983674,0.007098283459997827
mH&Y_Slope_Alpha_channel92,-0.5691807348190099,0.008811549732357137
MoCA corretto_Slope_Gamma_channel34,-0.5689553408125344,0.008844426861441861
mH&Y_Slope_Alpha_channel94,-0.5668751445807674,0.009152599831698116
MoCA corretto_Slope_Gamma_channel66,-0.5666665804534432,0.00918397401356259
mH&Y_Slope_Theta_channel80,0.5665490583835799,0.009201691327995625
mH&Y_Slope_Theta_channel57,0.5662376419690553,0.009248774247810029
mH&Y_Slope_Theta_channel48,0.5627631260700096,0.009787512612683453
MoCA corretto_Slope_Gamma_channel83,-0.561209675796591,0.010036495336928887
mH&Y_Slope_Theta_channel70,0.5527584606269209,0.011482779278127433
MoCA corretto_Slope_Gamma_channel110,-0.5491748921861118,0.012144902455953214
MoCA corretto_Slope_Gamma_channel64,-0.5483498061247049,0.012301638579886157
MoCA corretto_Slope_Gamma_channel39,-0.5451713916661551,0.012920772875466587
mH&Y_Slope_Alpha_channel104,-0.5427652584426834,0.013406001033832483
UPDRS III _Slope_Gamma_channel70,0.5404663401196291,0.013883231148102075
mH&Y_Slope_Theta_channel54,0.5393091628842521,0.014128573710510555
MoCA corretto_Slope_Gamma_channel104,-0.5369760168794349,0.014633858244865912
mH&Y_Slope_Theta_channel59,0.5368259685065064,0.014666844787592438
mH&Y_Slope_Theta_channel52,0.5365460986494295,0.01472853099952568
mH&Y_Slope_Theta_channel68,0.5363602960583147,0.014769598925658703
MoCA corretto_Slope_Gamma_channel87,-0.5358789340561797,0.01487642275186401
mH&Y_Slope_Theta_channel26,0.5347414656222063,0.015131319044627849
mH&Y_Slope_Theta_channel62,0.5343726506915568,0.015214716385853581
mH&Y_Slope_Alpha_channel30,-0.5337628105694836,0.015353424803208098
mH&Y_Slope_Theta_channel1,0.53263364325143,0.015612935122882574
MoCA corretto_Slope_Gamma_channel111,-0.5273505344434428,0.016874304059901257
mH&Y_Slope_Alpha_channel29,-0.5265504674181101,0.01707224124920951
MoCA corretto_Slope_Gamma_channel108,-0.5261277002799638,0.017177582307614788
mH&Y_Slope_Theta_channel65,0.5259933940457776,0.017211156127955384
MoCA corretto_Slope_Gamma_channel109,-0.5259383703919095,0.017224926077920415
MoCA corretto_Slope_Gamma_channel106,-0.52447867188427,0.01759345493864621
MoCA corretto_Slope_Gamma_channel100,-0.5244160848945293,0.01760939609244179
mH&Y_Slope_Theta_channel78,0.524366651849603,0.017621995048901037
MoCA corretto_Slope_Gamma_channel85,-0.5242239380647292,0.017658408844060232
mH&Y_Slope_Delta_channel17,0.523703236494907,0.017791777877258427
mH&Y_Slope_Theta_channel22,0.5233962996470465,0.01787077117271444
UPDRS III _Slope_Alpha_channel92,-0.5208826650673329,0.01852828541583125
mH&Y_Slope_Theta_channel89,0.5206545516491937,0.0185888983960854
mH&Y_Slope_Theta_channel76,0.520630422354392,0.018595319141357064
mH&Y_Slope_Theta_channel84,0.5188233819210077,0.01908122408766124
mH&Y_Slope_Theta_channel74,0.518112063019736,0.019275250325916492
mH&Y_Slope_Alpha_channel100,-0.5170092547025296,0.019579170657095267
mH&Y_Slope_Theta_channel41,0.5144913644900301,0.020287394678177827
MoCA corretto_Slope_Gamma_channel96,-0.5143518809634275,0.020327216361809453
mH&Y_Slope_Theta_channel2,0.5134377854270341,0.020589727660538255
mH&Y_Slope_Alpha_channel31,-0.511297310197123,0.02121499322440613
mH&Y_Slope_Theta_channel58,0.5108045171819491,0.021361060978152675
MoCA corretto_Slope_Gamma_channel65,-0.5106017436932172,0.021421396254381286
mH&Y_Slope_Alpha_channel19,-0.508324885423898,0.02210821777374248
MoCA corretto_Slope_Gamma_channel112,-0.5079878442803679,0.022211355616752554
mH&Y_Slope_Theta_channel77,0.5079308893795489,0.022228822020953255
mH&Y_Slope_Theta_channel56,0.5078630745115873,0.022249633074628204
mH&Y_Slope_Alpha_channel108,-0.5060826693662402,0.02280155942752269
UPDRS III _Slope_Theta_channel86,0.5052639659807576,0.023058974264751366
mH&Y_Slope_Delta_channel52,0.504731889824239,0.02322749956277259
mH&Y_Slope_Theta_channel21,0.5038342598789208,0.023514018005116086
mH&Y_Slope_Theta_channel50,0.5032905736812254,0.023688916144688203
mH&Y_Slope_Theta_channel25,0.5009189536214996,0.024463924362564574
MoCA corretto_Slope_Gamma_channel94,-0.5001782472911015,0.024710040889789342
mH&Y_Slope_Theta_channel36,0.5000683625214737,0.02474671873722442
UPDRS III _Slope_Alpha_channel94,-0.49928455236112496,0.025009592593223762
mH&Y_Slope_Theta_channel49,0.49881033639529526,0.02516970309701698
UPDRS III _Slope_Beta_channel45,-0.4985174472486377,0.02526899567092666
MoCA corretto_Slope_Gamma_channel116,-0.49722357046021753,0.025711342362259606
mH&Y_Slope_Theta_channel90,0.49671618278159724,0.02588646578774126
mH&Y_Slope_Theta_channel86,0.49647717562584304,0.025969283903785285
mH&Y_Slope_Theta_channel20,0.49587053335350256,0.026180429880205934
mH&Y_Slope_Theta_channel37,0.4956509862737867,0.026257177598192648
mH&Y_Slope_Theta_channel42,0.49521229735249,0.026411062881768844
mH&Y_Slope_Alpha_channel98,-0.4949381860958793,0.026507577309012934
mH&Y_Slope_Theta_channel95,0.49467193349464333,0.026601590740534354
UPDRS III _Slope_Alpha_channel102,-0.4934663646197859,0.02703057011608695
mH&Y_Slope_Theta_channel60,0.4925684776650485,0.02735359320753723
mH&Y_Slope_Theta_channel82,0.4919604079476332,0.027574072780858258
mH&Y_Slope_Theta_channel23,0.4918085207502733,0.027629363222380604
UPDRS III _Slope_Theta_channel78,0.4907209500792627,0.028027818252197086
UPDRS III _Slope_Beta_channel78,-0.48981673206512805,0.02836252786643733
UPDRS III _Slope_Theta_channel48,0.4891121502857291,0.02862551147203437
UPDRS III _Slope_Gamma_channel80,0.4887970546530765,0.02874373871254861
MoCA corretto_Slope_Theta_channel91,-0.48745143473878977,0.02925295500093965
mH&Y_Slope_Theta_channel53,0.4866575180318123,0.029556699389728706
MoCA corretto_Slope_Gamma_channel115,-0.4858234900840136,0.02987845094936249
MoCA corretto_Slope_Gamma_channel9,-0.4852673081510976,0.030094537967849153
mH&Y_Slope_Theta_channel67,0.4842542745047178,0.030491268705246762
UPDRS III _Slope_Theta_channel70,0.483975340711737,0.03060122326692284
mH&Y_Slope_Theta_channel61,0.4836180496326812,0.030742519736067037
mH&Y_Slope_Theta_channel88,0.48262578126527345,0.031137611216831854
MoCA corretto_Slope_Gamma_channel98,-0.48217388060874217,0.031318857408691225
UPDRS III _Slope_Theta_channel45,0.480979986314884,0.03180167528834458
MoCA corretto_Slope_Gamma_channel114,-0.4809485681388005,0.03181445918249162
mH&Y_Slope_Alpha_channel67,-0.480492846706977,0.032000342526498325
mH&Y_Slope_Theta_channel38,0.480374654855115,0.032048690064801905
mH&Y_Slope_Alpha_channel15,-0.48008256518098225,0.032168417357663875
MoCA corretto_Slope_Theta_channel13,-0.4800330511530395,0.03218874774769086
UPDRS III _Slope_Beta_channel73,-0.47854914458284986,0.03280271596989204
MoCA corretto_Slope_Gamma_channel113,-0.47786030625198805,0.03309081595040732
mH&Y_Slope_Theta_channel71,0.4768953060491724,0.03349773815612686
MoCA corretto_Slope_Gamma_channel10,-0.4748751878576275,0.03436222991904363
mH&Y_Slope_Theta_channel69,0.47437193064988453,0.034580277829251625
mH&Y_Slope_Theta_channel11,0.47365168109227274,0.03489421793301804
MoCA corretto_Slope_Theta_channel101,-0.4731585410162543,0.035110444276727985
mH&Y_Slope_Theta_channel97,0.47267161972363797,0.03532496683545531
UPDRS III _Slope_Alpha_channel67,-0.47199352019541074,0.03562541611009534
MoCA corretto_Slope_Theta_channel50,-0.4717223498911928,0.035746120473526835
mH&Y_Slope_Theta_channel13,0.4711522297891807,0.036000932829500315
mH&Y_Slope_Delta_channel84,0.47045696682180216,0.036313587916310126
mH&Y_Slope_Theta_channel96,0.4701348980539021,0.036459134083523824
MoCA corretto_Slope_Gamma_channel22,-0.4693472160705889,0.03681700776182452
MoCA corretto_Slope_Theta_channel18,-0.4692832563424688,0.03684618653042219
mH&Y_Slope_Theta_channel73,0.4691082646063745,0.03692611058470051
mH&Y_Slope_Delta_channel56,0.4676370456908776,0.03760340265249171
mH&Y_Slope_Theta_channel12,0.46750106892186977,0.037666484868577155
mH&Y_Slope_Theta_channel99,0.4659398856977749,0.03839665175309894
MoCA corretto_Slope_Gamma_channel81,-0.465879838340295,0.03842495368257401
mH&Y_Slope_Alpha_channel96,-0.4654143858145159,0.038644883330647674
mH&Y_Slope_Theta_channel27,0.46512458926002437,0.038782306709594344
MoCA corretto_Slope_Gamma_channel107,-0.46419596303566724,0.03922522169992383
mH&Y_Slope_Theta_channel51,0.4635861758951685,0.039518189988307376
mH&Y_Slope_Alpha_channel32,-0.46276708082208456,0.03991438400862892
MoCA corretto_Slope_Theta_channel12,-0.4612344519113812,0.04066396925481158
UPDRS III _Slope_Theta_channel80,0.46060785620674727,0.04097354568861357
mH&Y_Slope_Alpha_channel77,-0.4591705226043121,0.041690562448500855
mH&Y_Slope_Theta_channel108,0.4585903876109172,0.04198269526853271
UPDRS III _Slope_Theta_channel69,0.45858363772089816,0.041986103525468846
mH&Y_Slope_Theta_channel98,0.4573562038367064,0.042609440316021874
mH&Y_Slope_Theta_channel64,0.45719889787779466,0.04268983979289183
UPDRS III _Slope_Beta_channel54,-0.45683742517006165,0.04287503311822456
mH&Y_Slope_Delta_channel21,0.45568324680147604,0.04347050609391685
MoCA corretto_Slope_Gamma_channel33,-0.45507677359326326,0.04378594799497252
MoCA corretto_Slope_Theta_channel17,-0.4546802278298065,0.0439931535047295
mH&Y_Slope_Alpha_channel18,-0.4537602011520636,0.04447680191217791
MoCA corretto_Slope_Theta_channel16,-0.45332505199220774,0.04470697702791027
UPDRS III _Slope_Alpha_channel100,-0.45213000294526556,0.04534382648648307
UPDRS III _Slope_Theta_channel74,0.4517094558842779,0.04556959143288565
MoCA corretto_Slope_Gamma_channel26,-0.4493400041342083,0.0468578022672718
mH&Y_Slope_Theta_channel83,0.4486013819130341,0.04726503699151478
mH&Y_Slope_Theta_channel46,0.44848735545911356,0.04732814612146178
UPDRS III _Slope_Beta_channel86,-0.44800642065974683,0.04759503662059933
Apathy_Slope_Gamma_channel77,-0.44705063599051914,0.04812886829189375
MoCA corretto_Slope_Beta_channel103,0.44526713473184126,0.04913726967381542
MoCA corretto_Slope_Theta_channel46,-0.4451519732277118,0.04920293456936323
mH&Y_Slope_Alpha_channel16,-0.4449844860345116,0.049298555442629385
UPDRS III _Slope_Theta_channel21,0.44459827493915205,0.04951959151294815
UPDRS III _Slope_Theta_channel82,0.44431990874742394,0.04967937593053586
MoCA corretto_Slope_Gamma_channel62,-0.44368691906960667,0.05004418638662902
UPDRS III _Slope_Theta_channel44,0.44360010418482115,0.05009437979668219
mH&Y_Slope_Theta_channel66,0.4407364791935763,0.051771730548565466
mH&Y_Slope_Delta_channel57,0.44013823005650604,0.05212750490614608
MoCA corretto_Slope_Theta_channel47,-0.4393826707119457,0.052579494703190295
MoCA corretto_Slope_Gamma_channel102,-0.43895581731800204,0.05283616520684679
mH&Y_Slope_Delta_channel46,0.4388770578817124,0.052883628197345676
UPDRS III _Slope_Delta_channel21,0.4386738534877238,0.05300623599145721
MoCA corretto_Slope_Gamma_channel21,-0.43801994446217346,0.053402258295288545
MoCA corretto_Slope_Beta_channel105,0.4370560536455439,0.05399012155393874
mH&Y_Slope_Theta_channel87,0.43690024992663884,0.05408560513146105
Apathy_Slope_Theta_channel73,-0.43577607881393654,0.054778366466926215
UPDRS III _Slope_Theta_channel54,0.43508927343971954,0.05520491665624148
MoCA corretto_Slope_Theta_channel11,-0.4347893857366881,0.05539195697092659
mH&Y_Slope_Alpha_channel20,-0.43375133521223275,0.056043115222264434
UPDRS III _Slope_Alpha_channel98,-0.43321175550097174,0.05638387845186654
mH&Y_Slope_Theta_channel103,0.432323917560235,0.05694800331367773
mH&Y_Slope_Theta_channel47,0.4323172741368245,0.0569522405869025
Apathy_Slope_Gamma_channel60,-0.4313226140376561,0.05758935606114993
UPDRS III _Slope_Theta_channel71,0.43045169653130777,0.05815163955055579
MoCA corretto_Slope_Beta_channel101,0.43017022880649064,0.05833424882824055
mH&Y_Slope_Alpha_channel89,-0.42991693604947334,0.05849895039475286
mH&Y_Slope_Delta_channel5,0.42963079686371547,0.05868543402427647
Apathy_Slope_Gamma_channel61,-0.4292631275635293,0.058925713986315166
UPDRS III _Slope_Theta_channel72,0.4286970725060272,0.05929710026457381
UPDRS III _Slope_Theta_channel49,0.42849668583989353,0.05942899723763444
mH&Y_Slope_Theta_channel17,0.42780424857999844,0.059886479464268894
UPDRS III _Slope_Gamma_channel63,0.42772187511409226,0.05994107927339111
mH&Y_Slope_Theta_channel19,0.42705250936395966,0.06038615528632213
MoCA corretto_Slope_Theta_channel31,-0.426971194392741,0.06044039330394675
MoCA corretto_Slope_Gamma_channel61,-0.42589731749585236,0.061160144874355386
UPDRS III _Slope_Theta_channel68,0.4256359014848429,0.06133633226618415
mH&Y_Slope_Theta_channel110,0.4248416756435167,0.06187397365705702
UPDRS III _Slope_Gamma_channel67,0.42407738764589803,0.062394703967195014
Apathy_Slope_Gamma_channel65,-0.42372591240152535,0.06263528166599625
MoCA corretto_Slope_Gamma_channel15,-0.42301151924765684,0.06312642711819304
mH&Y_Slope_Alpha_channel2,-0.4228129645425986,0.06326344825560887
mH&Y_Slope_Delta_channel13,0.4223209226941763,0.06360396979969486
MoCA corretto_Slope_Gamma_channel105,-0.42172751645463025,0.06401647835968796
MoCA corretto_Slope_Theta_channel37,-0.42171558011450505,0.0640247965943242
mH&Y_Slope_Theta_channel45,0.42119473614547454,0.06438855822513909
MoCA corretto_Slope_Theta_channel103,-0.4209943415763592,0.06452892956648956
mH&Y_Slope_Beta_channel20,-0.42084868694849575,0.06463110159152263
mH&Y_Slope_Theta_channel63,0.4207892003009204,0.06467286459604571
MoCA corretto_Slope_Theta_channel24,-0.42073861290656467,0.06470839581457909
MoCA corretto_Slope_Theta_channel14,-0.42066956087837837,0.0647569198303466
mH&Y_Slope_Theta_channel72,0.4205670060141849,0.06482903743544785
MoCA corretto_Slope_Gamma_channel92,-0.42019903988068064,0.06508829297507439
UPDRS III _Slope_Beta_channel82,-0.4198214916827794,0.06535511050859219
UPDRS III _Slope_Gamma_channel71,0.4197970698216385,0.06537239802483748
UPDRS III _Slope_Theta_channel109,0.4197134526314144,0.06543161424694088
MoCA corretto_Slope_Theta_channel51,-0.4193374596457942,0.06569838504717655
UPDRS III _Slope_Beta_channel72,-0.4188914431272876,0.06601589882701343
mH&Y_Slope_Theta_channel29,0.4181897475151165,0.06651776275846444
mH&Y_Slope_Delta_channel108,0.4180577140950874,0.06661251501985753
mH&Y_Slope_Theta_channel30,0.41743499578467014,0.067060770371489
mH&Y_Slope_Delta_channel42,0.4171747439288334,0.06724877942455593
UPDRS III _Slope_Theta_channel88,0.4170928269788706,0.06730803908954314
MoCA corretto_Slope_Theta_channel49,-0.4158517800537026,0.06821063482309446
UPDRS III _Slope_Alpha_channel104,-0.4152926108235562,0.0686202670905483
mH&Y_Slope_Alpha_channel35,-0.4152811067655252,0.06862871398818828
mH&Y_Slope_Theta_channel43,0.414990356245055,0.06884245781766156
mH&Y_Slope_Theta_channel109,0.4141756031188232,0.06944408049944834
BDI_Slope_Gamma_channel77,-0.41417415505596644,0.06944515326254383
MoCA corretto_Slope_Theta_channel32,-0.41305903710291475,0.07027495742613465
UPDRS III _Slope_Theta_channel38,0.4127132872503076,0.07053374625477025
mH&Y_Slope_Theta_channel34,0.41268992042312574,0.07055126170515524
UPDRS III _Slope_Theta_channel42,0.4125234571619622,0.0706761345469851
MoCA corretto_Slope_Gamma_channel63,-0.4117614262560416,0.07124988811506497
UPDRS III _Slope_Theta_channel67,0.41161090480518836,0.071363630860457
MoCA corretto_Slope_Theta_channel53,-0.4112266771741986,0.071654591691902
UPDRS III _Slope_Theta_channel76,0.4111929508358369,0.07168017365897464
Apathy_Slope_Gamma_channel26,-0.4110708382904414,0.07177285513779967
MoCA corretto_Slope_Theta_channel84,-0.4102979946612626,0.07236151158651895
mH&Y_Slope_Alpha_channel61,-0.4102050934625219,0.07243251447754978
UPDRS III _Slope_Gamma_channel68,0.41011270679540685,0.07250317575931264
MoCA corretto_Slope_Theta_channel68,-0.409498508987454,0.07297425128178764
MoCA corretto_Slope_Theta_channel93,-0.40903706835765097,0.07332966724378742
mH&Y_Slope_Beta_channel75,-0.4090119778321789,0.0733490297418531
mH&Y_Slope_Theta_channel111,0.4082767072972451,0.07391813936705904
UPDRS III _Slope_Theta_channel25,0.40779712406712765,0.0742911154589375
MoCA corretto_Slope_Theta_channel30,-0.4073612591771211,0.07463130791749426
MoCA corretto_Slope_Gamma_channel25,-0.40725266382520575,0.0747162471005958
MoCA corretto_Slope_Theta_channel28,-0.4069393405725492,0.0749617208676314
mH&Y_Slope_Theta_channel18,0.4067624864428269,0.07510054287013705
UPDRS III _Slope_Theta_channel110,0.40649314937640396,0.0753123276672782
BDI_Slope_Delta_channel20,0.4057175969444064,0.07592464588531747
MoCA corretto_Slope_Gamma_channel101,-0.40483656966670567,0.07662473038948925
UPDRS III _Slope_Theta_channel96,0.40412567688665046,0.0771931164985522
MoCA corretto_Slope_Gamma_channel103,-0.4035777443653137,0.07763334595245999
mH&Y_Slope_Alpha_channel63,-0.4033334711142348,0.0778302048584423
MoCA corretto_Slope_Beta_channel107,0.4028062517399766,0.07825635386881738
mH&Y_Slope_Theta_channel100,0.402680391075079,0.07835834240635677
UPDRS III _Slope_Delta_channel42,0.4024574064875901,0.07853927577462216
UPDRS III _Slope_Alpha_channel108,-0.40182611854118505,0.07905319682593852
UPDRS III _Slope_Theta_channel98,0.4012195264993601,0.07954936237146479
MoCA corretto_Slope_Theta_channel9,-0.40096238611005075,0.07976038813510533
Apathy_Slope_Delta_channel43,-0.4009448232761594,0.07977481645721574
UPDRS III _Slope_Theta_channel37,0.400754583372768,0.07993122762005762
Apathy_Slope_Delta_channel40,-0.40066574936040866,0.08000434293410719
mH&Y_Slope_Delta_channel110,0.40059272481193847,0.0800644833403889
mH&Y_Slope_Beta_channel69,-0.4003882481031129,0.0802330615147115
mH&Y_Slope_Alpha_channel1,-0.40022423754668723,0.08036846809741102
UPDRS III _Slope_Beta_channel69,-0.4002158231432022,0.08037541957012295
