,spearman_corr,p_val1
mH&Y_Slope_Theta_channel40,0.6858675652358891,0.000842444498517013
MoCA corretto_Slope_Gamma_channel34,-0.6641573796969764,0.001404745289672531
MoCA corretto_Slope_Gamma_channel83,-0.6475910958496597,0.002021427443855276
mH&Y_Slope_Theta_channel1,0.62391823676297,0.0032832660534396754
mH&Y_Slope_Theta_channel75,0.6017934765940705,0.0049966448754890464
mH&Y_Slope_Theta_channel41,0.5885186204927306,0.00633888851272199
MoCA corretto_Slope_Gamma_channel8,-0.5873500636775981,0.006469985567721232
MoCA corretto_Slope_Gamma_channel87,-0.5843380120689952,0.006818186827274068
mH&Y_Slope_Theta_channel2,0.5840936684589507,0.006847094093213752
mH&Y_Slope_Theta_channel55,0.5840936684589507,0.006847094093213752
MoCA corretto_Slope_Gamma_channel111,-0.5828319862646937,0.006997961338607098
MoCA corretto_Slope_Gamma_channel7,-0.5798199346560906,0.007369166322330761
mH&Y_Slope_Theta_channel76,0.5708188123576109,0.008575591688043777
mH&Y_Slope_Theta_channel21,0.5708188123576109,0.008575591688043777
MoCA corretto_Slope_Gamma_channel66,-0.5707837798302814,0.008580583477187858
mH&Y_Slope_Theta_channel37,0.5663938603238309,0.009225131204865927
mH&Y_Slope_Theta_channel52,0.5619689082900511,0.009914172525093055
mH&Y_Slope_Alpha_channel30,-0.5619689082900511,0.009914172525093055
MoCA corretto_Slope_Gamma_channel112,-0.5617476250044722,0.009949698516209535
mH&Y_Slope_Theta_channel95,0.5575439562562711,0.010644468695542125
mH&Y_Slope_Theta_channel11,0.5575439562562711,0.010644468695542125
BDI_Slope_Gamma_channel77,-0.5513666704843473,0.011736372766614439
UPDRS III _Slope_Theta_channel44,0.5512054443743615,0.011766039832499272
MoCA corretto_Slope_Gamma_channel85,-0.5512054443743615,0.011766039832499272
MoCA corretto_Slope_Gamma_channel110,-0.5496994185700599,0.012046103994437457
MoCA corretto_Slope_Gamma_channel104,-0.5496994185700599,0.012046103994437457
mH&Y_Slope_Alpha_channel29,-0.5486940521887111,0.012236046873058104
BDI_Slope_Gamma_channel28,-0.5483246474747784,0.012306443361917569
mH&Y_Slope_Delta_channel52,0.5442691001549314,0.01310104204887023
MoCA corretto_Slope_Gamma_channel100,-0.5391572379399492,0.014161042154426184
