,odds_ratios,log_odds
Beta_channel50,1.161587030338431,0.14978719968380197
Beta_channel11,1.1434280175804439,0.13403078329113213
Alpha_channel101,1.132231227574204,0.12419022356333259
Beta_channel79,1.121243359864285,0.11443821229019843
Beta_channel101,1.11960075225529,0.11297215055540757
Alpha_channel45,1.1187100968859576,0.11217632238285374
Beta_channel66,1.1153506459527338,0.109168836148497
Theta_channel95,1.1149696790852854,0.1088272108968443
Alpha_channel50,1.1136226263364883,0.10761832858170021
Beta_channel70,1.1129535328993658,0.1070173220053141
Beta_channel97,1.1091813845146026,0.1036222518153737
Alpha_channel97,1.1058489863467411,0.10061335340400578
Alpha_channel66,1.103350637109198,0.09835158377842401
Alpha_channel93,1.1030198337889954,0.09805172178603018
Alpha_channel79,1.1024826371291905,0.09756457957919815
Theta_channel97,1.101483363599818,0.09665778374158952
Theta_channel103,1.1008687762185363,0.0960996646414479
Theta_channel101,1.1001355559887451,0.0954334049288384
Beta_channel93,1.0992160658577692,0.09459725833416605
Beta_channel45,1.0967582416565331,0.09235877565326027
Beta_channel103,1.096379594389791,0.09201347380831373
Alpha_channel11,1.0938887942930333,0.08973904827820757
Alpha_channel67,1.0934657099457814,0.08935220256873684
Beta_channel17,1.0926222061321684,0.08858050089171846
Theta_channel17,1.092393082529227,0.08837077823671427
Beta_channel53,1.0921618701392228,0.08815909906555414
Theta_channel107,1.0916238957968187,0.08766640022881049
Alpha_channel17,1.0836597326475987,0.08034395396902101
Theta_channel18,1.0831755228629738,0.07989702585904743
Beta_channel15,1.0812832952964238,0.07814857212757982
Alpha_channel53,1.0811368523858231,0.07801312859595956
Beta_channel67,1.0808021913614085,0.07770353519825894
Beta_channel95,1.0807807616642435,0.07768370741683077
Beta_channel105,1.0796045409608288,0.07659480830406043
Beta_channel91,1.0791873482102794,0.07620830253865012
Alpha_channel91,1.0790607926882059,0.07609102638321592
Beta_channel52,1.0788475329409986,0.07589337225178823
Theta_channel108,1.0782970825693245,0.07538302131874124
Beta_channel46,1.0770665922498235,0.07424122750681186
Beta_channel92,1.076263500365145,0.07349532057441177
Beta_channel99,1.0759183665613676,0.07317459135348504
Theta_channel104,1.0754225418032455,0.07271364649349253
Theta_channel93,1.0750313384655161,0.07234981321565824
Alpha_channel12,1.0748295035648574,0.07216204766608807
Beta_channel73,1.0745697416150144,0.07192034110394956
Theta_channel50,1.0740479196662205,0.07143461303007503
Beta_channel13,1.0739857183829493,0.07137669840323979
Theta_channel100,1.073805179387119,0.07120858241351015
Theta_channel105,1.0730385326958538,0.0704943741835038
Theta_channel115,1.072482234042096,0.06997580668711938
Beta_channel68,1.0718339599221416,0.06937116251987407
Alpha_channel49,1.0716856642917632,0.06923279604173246
Theta_channel15,1.071582922326071,0.06913692194885177
Beta_channel108,1.0714707634486347,0.069032249930336
Beta_channel19,1.0705355392097828,0.06815902719787433
Alpha_channel70,1.0704404048631584,0.06807015712257007
Beta_channel47,1.0697291674574962,0.06740550190922243
Theta_channel92,1.0696718736975364,0.06735194134823229
Theta_channel79,1.068786560647143,0.06652394947637387
Alpha_channel89,1.0685064383694758,0.06626182137376935
Alpha_channel16,1.068402533752082,0.06616457378968289
Beta_channel49,1.068302913890648,0.06607132756183602
Alpha_channel46,1.0676887406570588,0.06549625672838272
Theta_channel66,1.0671821888525803,0.06502170643404624
Delta_channel50,1.0669670942321576,0.06482013232406623
Beta_channel114,1.0669235743821925,0.06477934312093493
Beta_channel54,1.0657809743983968,0.06370783971576885
Theta_channel13,1.0654308854844337,0.06337930464733937
Alpha_channel99,1.0653595052668619,0.06331230583046066
Beta_channel107,1.065148923900196,0.06311462403350691
Theta_channel11,1.0651251788739184,0.0630923311029889
Theta_channel114,1.0650735325926388,0.06304384146583746
Alpha_channel36,1.0648978581784119,0.06287888674824227
Alpha_channel95,1.06481190169724,0.06279816543791335
Theta_channel102,1.064553159337256,0.06255514242040246
Alpha_channel103,1.0645306902674778,0.0625340356238964
Beta_channel115,1.0645053455760476,0.06251022701661628
Beta_channel113,1.064432649246391,0.062441933501387846
Alpha_channel61,1.064274852751465,0.062293677815656416
Gamma_channel101,1.063883414532717,0.06192581210831714
Theta_channel49,1.0633438789488767,0.061418545586246
Beta_channel12,1.0623503023483314,0.06048371998278485
Theta_channel74,1.062266217159963,0.060404566697813064
Beta_channel61,1.061246226170569,0.05944390261407654
Beta_channel100,1.0611321011203338,0.0593363581212989
Beta_channel104,1.060791778292868,0.05901558994136016
Delta_channel3,1.0593503442385237,0.057655837440697334
Beta_channel75,1.0588610089368713,0.05719381054274519
Beta_channel23,1.058677656138527,0.05702063514639803
Theta_channel9,1.0580584622405704,0.056435589225707426
Theta_channel73,1.057937712674654,0.05632145899477526
Theta_channel3,1.0579220101277647,0.05630661628406019
Alpha_channel74,1.0576121402024445,0.05601366906078992
