,odds_ratios,log_odds
Alpha_channel107,1.1206434454666105,0.11390302522315535
Theta_channel95,1.1199225551943306,0.11325953576830977
Alpha_channel101,1.116834746188497,0.11049856481679453
Beta_channel95,1.1150559774410294,0.10890460763489021
Theta_channel107,1.114912437394714,0.10877587034376206
Alpha_channel95,1.114627484232074,0.10852025423083468
Alpha_channel97,1.1129174780831932,0.10698492586376046
Alpha_channel66,1.1029558084678879,0.097993674616425
Gamma_channel95,1.0982110760704091,0.09368256147049783
Theta_channel97,1.097315303970653,0.09286656385133574
Beta_channel107,1.0969856984679538,0.09256614426002921
Alpha_channel45,1.0965012692339684,0.09212444640725483
Alpha_channel93,1.095985706085797,0.0916541465482565
Alpha_channel91,1.094932385371613,0.09069261284287104
Theta_channel66,1.0948833944894676,0.09064786854738817
Alpha_channel50,1.0922910362288512,0.08827735850653569
Beta_channel97,1.0918224267274603,0.08784825121286322
Alpha_channel79,1.0906165176061176,0.08674314882527963
Theta_channel79,1.088233216599682,0.08455547895567822
Beta_channel1,1.0875626300502539,0.08393907317322084
Alpha_channel11,1.085662036145412,0.0821899724760362
Gamma_channel80,1.0853371752455814,0.08189069931135634
Alpha_channel40,1.084908926081242,0.0814960443737103
Beta_channel40,1.0843863028847613,0.0810142075083418
Theta_channel101,1.0833803892160836,0.08008614292967388
Theta_channel73,1.0829745204409058,0.07971144091005797
Alpha_channel1,1.0828006755353174,0.07955090263601683
Theta_channel1,1.0824520810233371,0.07922891296166003
Beta_channel66,1.0823503908840564,0.0791349643075217
Alpha_channel103,1.0821687185944937,0.07896710042570741
Alpha_channel73,1.0799485134938052,0.07691336730882838
Beta_channel80,1.0791847988381373,0.07620594022856772
Alpha_channel99,1.078187104674951,0.07528102391470774
Beta_channel11,1.0766724323497705,0.07387520367574275
Gamma_channel34,1.076082796300322,0.07332740701372914
Beta_channel39,1.075495539885758,0.07278152270241194
Beta_channel101,1.074819524106949,0.07215276293376191
Beta_channel34,1.0744437373972795,0.07180307407039219
Theta_channel91,1.0697879830242805,0.06746048213388267
Alpha_channel61,1.069646173700214,0.06732791500268269
Alpha_channel67,1.069566559979124,0.0672534822734143
Alpha_channel39,1.0695176104538289,0.06720771546724524
Delta_channel79,1.0677258209149452,0.06553098558952052
Beta_channel0,1.0668320955013195,0.06469359864492007
Theta_channel39,1.0666422486218234,0.06451562895850663
Beta_channel50,1.066026683643506,0.0639383569908806
Gamma_channel66,1.0643064451511461,0.06232336181195463
Beta_channel91,1.0638293991915893,0.061875038958114824
Theta_channel93,1.0634376979868159,0.06150677188932999
Theta_channel103,1.0628554703634718,0.060959126205694145
Theta_channel0,1.0627678611300142,0.060876694636366455
Alpha_channel34,1.0626066641206684,0.060725006538349155
Alpha_channel0,1.0597658266008367,0.05804796541683593
Beta_channel93,1.0596399262556453,0.05792915820385201
Theta_channel70,1.0596041542616224,0.057895399002299626
Gamma_channel97,1.0592862374879435,0.05759532045429887
Beta_channel79,1.0582030961032,0.0565722773040639
Delta_channel66,1.0554962396655185,0.05401102569024608
Delta_channel73,1.0546339968367338,0.053193784306885886
Beta_channel45,1.0545959687304847,0.05315772554907002
Theta_channel40,1.054456461119795,0.053025431435449584
Theta_channel99,1.0526012699135487,0.05126450039087869
Beta_channel73,1.0522400941285772,0.05092131463380787
