,odds_ratios,log_odds
Slope_Delta_channel30,1.2813296034235921,0.24789829147596396
Slope_Delta_channel31,1.2705933087327843,0.23948396361006713
Slope_Delta_channel83,1.2321085940480916,0.20872700574638298
Slope_Delta_channel19,1.177953766410776,0.16377883693013795
Slope_Delta_channel32,1.1744413521688832,0.16079258957367626
Slope_Delta_channel36,1.1732059584689596,0.1597401369259908
Slope_Delta_channel54,1.1498586282116265,0.13963900282851238
Slope_Delta_channel69,1.1485728040666188,0.1385201317052838
Slope_Delta_channel86,1.1443061592202979,0.1347984788493724
Slope_Gamma_channel108,1.13288628639482,0.12476861195584453
Slope_Delta_channel29,1.130795501663108,0.12292136881657018
Slope_Beta_channel36,1.1297762386706853,0.12201959424042347
Slope_Gamma_channel43,1.1278352420910907,0.12030008043179445
Slope_Delta_channel68,1.1228634871650323,0.11588210751681514
Slope_Beta_channel2,1.11730767912618,0.11092193347887119
Slope_Delta_channel49,1.1158242792134645,0.1095933956597238
Slope_Theta_channel107,1.1153622389886326,0.1091792301673572
Slope_Delta_channel88,1.110615440417212,0.10491431249949254
Slope_Delta_channel47,1.1082577925355581,0.10278922600613165
Slope_Alpha_channel75,1.1080562160215,0.10260732351953847
Slope_Delta_channel11,1.1072862722832901,0.10191222217672098
Slope_Delta_channel5,1.1061586855428596,0.10089336979099914
Slope_Theta_channel23,1.105940668677118,0.1006962567038031
Slope_Gamma_channel42,1.1052978451431763,0.10011484176549355
Slope_Gamma_channel44,1.105093496500422,0.09992994360788092
Slope_Theta_channel22,1.1046818919306023,0.09955741291835027
Slope_Gamma_channel73,1.101774793342747,0.09692232808807062
Slope_Theta_channel101,1.1012929601628372,0.0964849078708976
Slope_Alpha_channel92,1.09958107674233,0.09492926794145705
Slope_Alpha_channel77,1.099525323464848,0.09487856254813146
Slope_Alpha_channel70,1.0992370927330632,0.09461638712498197
Slope_Delta_channel58,1.098858512116939,0.09427192474670114
Slope_Beta_channel75,1.0986139718581551,0.09404935972113057
Slope_Theta_channel31,1.0984893276865084,0.09393589744395285
Slope_Delta_channel78,1.098198227635298,0.0936708619797976
Slope_Alpha_channel71,1.0981809457429252,0.09365512526859357
Slope_Alpha_channel41,1.097678143981646,0.0931971707737724
Slope_Beta_channel65,1.0967908193529805,0.09238847883795658
Slope_Theta_channel61,1.0964100203913243,0.09204122476201222
Slope_Alpha_channel38,1.0960664549758437,0.09172782078969799
Slope_Beta_channel1,1.0960048105709752,0.09167157772328532
Slope_Theta_channel93,1.0959797052682465,0.0916486712633643
Slope_Alpha_channel10,1.0937957997682681,0.0896540318868378
Slope_Gamma_channel91,1.0905334803829623,0.08666700805250188
Slope_Gamma_channel3,1.0903893591526899,0.08653484268849229
Slope_Alpha_channel84,1.0879916388658974,0.08433346353831916
Slope_Delta_channel55,1.086247959905472,0.08272951948796524
Slope_Gamma_channel89,1.0853760898318372,0.08192655350443288
Slope_Alpha_channel102,1.0850988286166354,0.0816710691269327
Slope_Delta_channel48,1.0849213069442563,0.0815074562001527
Slope_Theta_channel103,1.0834564713596269,0.08015636708448555
Slope_Gamma_channel24,1.082543156531262,0.07931304756519073
Slope_Gamma_channel40,1.0824605895462125,0.07923677334604519
Slope_Theta_channel30,1.0820247042365894,0.07883401217527866
Slope_Alpha_channel94,1.0818317928664307,0.07865570888120343
Slope_Alpha_channel67,1.081193923175117,0.078065914959593
Slope_Beta_channel83,1.0809252385942767,0.07781737677818802
Slope_Gamma_channel74,1.079441256574293,0.07644355223803953
Slope_Delta_channel24,1.078364163619543,0.0754452295587776
Slope_Delta_channel46,1.078302976179066,0.07538848696798618
Slope_Alpha_channel80,1.0753607619174665,0.07265619776242885
Slope_Gamma_channel46,1.0753248709405403,0.07262282145081808
Slope_Gamma_channel96,1.073829490473448,0.07123122228487304
Slope_Delta_channel10,1.0736261559008058,0.07104184973732537
