,odds_ratios,log_odds
Slope_Delta_channel69,1.1984865115207057,0.1810595203614738
Slope_Gamma_channel7,1.1983104046791007,0.180912568535283
Slope_Alpha_channel43,1.1723472337671164,0.15900792181950585
Slope_Alpha_channel34,1.14984911025077,0.13963072528898207
Slope_Delta_channel30,1.140915001860575,0.13183057367965273
Slope_Alpha_channel75,1.1373120586058434,0.12866763498845718
Slope_Theta_channel13,1.132110984678436,0.1240840179772422
Slope_Delta_channel31,1.130013514257416,0.12222959217257175
Slope_Alpha_channel2,1.1269017799126726,0.11947207945195581
Slope_Alpha_channel33,1.1265026636066036,0.11911784538501739
Slope_Gamma_channel42,1.1231419016825528,0.11613002724161105
Slope_Theta_channel17,1.1210152250383016,0.11423472565551081
Slope_Theta_channel31,1.1207166556322448,0.11396835177699591
Slope_Beta_channel36,1.1154572053998129,0.10926437055061537
Slope_Alpha_channel36,1.1115207251666863,0.10572910037215179
Slope_Alpha_channel41,1.1106974443328177,0.10498814623647375
Slope_Alpha_channel4,1.1104061944796957,0.10472588935687407
Slope_Theta_channel1,1.10672061813714,0.10140124440072111
Slope_Theta_channel61,1.105778730562348,0.10054982030222796
Slope_Gamma_channel40,1.1052919777628527,0.10010953333580397
Slope_Alpha_channel73,1.1020902669368662,0.09720861929705564
Slope_Alpha_channel81,1.09908499731353,0.09447801302551344
Slope_Delta_channel20,1.0968035440489625,0.09240008052347731
Slope_Alpha_channel6,1.0956354958126218,0.09133455639658919
Slope_Alpha_channel50,1.0949710051197934,0.09072788357522574
Slope_Theta_channel30,1.0942130812055517,0.09003545761684374
Slope_Gamma_channel44,1.09354507632969,0.08942478235155392
Slope_Beta_channel32,1.0925045695413154,0.08847283062537384
Slope_Gamma_channel43,1.0908869165194577,0.08699105025921272
Slope_Delta_channel76,1.0899691020901516,0.08614934913299405
Slope_Beta_channel75,1.0896043880733217,0.08581468363822646
Slope_Delta_channel70,1.0878988572111086,0.08424818199036206
Slope_Alpha_channel44,1.0876064839200636,0.08397939543555363
Slope_Beta_channel64,1.0844334867819572,0.08105771863584826
Slope_Gamma_channel41,1.0832300729655016,0.07994738586794362
Slope_Theta_channel18,1.0820284411835908,0.0788374658307578
Slope_Delta_channel19,1.0816713039392265,0.07850734863366265
Slope_Theta_channel22,1.0767231258668022,0.07392228607715995
Slope_Gamma_channel5,1.0765006969772775,0.07371568526961159
Slope_Theta_channel52,1.076346950802814,0.0735728547494091
Slope_Theta_channel58,1.0759484487800024,0.07320255053610948
Slope_Theta_channel23,1.0753809653145636,0.07267498513874811
Slope_Delta_channel78,1.0753280311512798,0.07262576028928565
Slope_Theta_channel51,1.075116592039869,0.07242911341001985
Slope_Theta_channel5,1.074461505065142,0.07181961055372504
Slope_Theta_channel53,1.0740527322912605,0.07143909384901216
Slope_Theta_channel32,1.0735076984861371,0.07093150970002683
Slope_Theta_channel65,1.072210529889275,0.06972243318873861
Slope_Delta_channel5,1.0713094732352408,0.06888170699463309
Slope_Delta_channel88,1.0709059552464137,0.06850497738262991
Slope_Delta_channel86,1.070452583559188,0.06808153433394458
Slope_Alpha_channel77,1.0699492739331333,0.06761123981091414
Slope_Delta_channel49,1.069608623257187,0.06729280890584548
Slope_Delta_channel54,1.06954617563136,0.06723442357919457
Slope_Delta_channel23,1.0693137690483203,0.06701710539103334
Slope_Theta_channel60,1.0686315579053645,0.0663789121149847
Slope_Alpha_channel11,1.067626468648926,0.0654379309056854
Slope_Theta_channel62,1.067056625023568,0.06490404028690207
Slope_Alpha_channel3,1.0662072224378862,0.06410769938272311
Slope_Alpha_channel76,1.0657906251006084,0.0637168947268356
Slope_Alpha_channel84,1.0651701459214677,0.06313454782949869
Slope_Theta_channel4,1.065008107372347,0.06298241168860748
Slope_Beta_channel92,1.064829116587848,0.06281433237915915
Slope_Alpha_channel72,1.064379795669448,0.06239227804481626
Slope_Theta_channel16,1.0635962950901718,0.06165589701301488
Slope_Theta_channel20,1.0617603129840767,0.05992820335839781
Slope_Alpha_channel89,1.0610718274507525,0.05927955522051639
Slope_Beta_channel77,1.0609700933575048,0.05918367201262295
Slope_Alpha_channel45,1.0609626898497617,0.059176693933202386
Slope_Delta_channel24,1.0602708586595473,0.05852440251981154
Slope_Alpha_channel42,1.0598873414494898,0.0581626208242562
Slope_Gamma_channel22,1.0598748270959994,0.05815081350579732
Slope_Delta_channel51,1.058385065019005,0.056744222814858865
Slope_Beta_channel63,1.0583406135232825,0.0567022225725225
Slope_Theta_channel68,1.057736571685404,0.056131315368846496
Slope_Beta_channel65,1.0567972803531138,0.05524290074908057
Slope_Theta_channel46,1.0562438769985207,0.05471910274796689
Slope_Delta_channel58,1.0561744569774498,0.054653377110218504
Slope_Theta_channel59,1.0558892325411937,0.054383286355469705
Slope_Delta_channel68,1.055748802195591,0.05425028027819714
Slope_Theta_channel83,1.0557148831211172,0.05421815178390895
Slope_Alpha_channel71,1.054478995794169,0.053046802098359915
Slope_Theta_channel55,1.0544227998340039,0.05299350804711978
Slope_Beta_channel50,1.0543464219549255,0.052921069699364366
Slope_Gamma_channel62,1.0532956038070198,0.051923919118638494
Slope_Beta_channel11,1.0531266252529086,0.05176347782425549
Slope_Gamma_channel110,1.0528759147542517,0.05152538646863881
Slope_Gamma_channel8,1.0528065921199967,0.05145954308146748
Slope_Delta_channel47,1.0525094189040287,0.051177235611818576
Slope_Delta_channel72,1.0512166285513491,0.04994818726022394
Slope_Alpha_channel74,1.0505744202705654,0.04933708150722345
Slope_Theta_channel19,1.0503821976008318,0.049154095653413256
Slope_Alpha_channel1,1.0503358325625747,0.04910995356713698
Slope_Alpha_channel83,1.0498799913173775,0.048675863653926905
Slope_Gamma_channel59,1.0496374519901417,0.04844482072633633
Slope_Theta_channel24,1.0484780413985317,0.04733962826836442
Slope_Delta_channel111,1.046223810847236,0.04518731105997506
Slope_Delta_channel100,1.0455066401361068,0.044501591024782426
Slope_Beta_channel66,1.0454101120983894,0.04440926019651503
Slope_Theta_channel47,1.044958985862294,0.04397763666788627
Slope_Delta_channel29,1.0449566214228352,0.04397537395502772
Slope_Theta_channel37,1.0446218685590085,0.043654971665000965
Slope_Gamma_channel109,1.0444422014101813,0.04348296435143612
Slope_Alpha_channel38,1.044440371751039,0.043481212544833295
Slope_Theta_channel93,1.0442003454346767,0.043251372807013126
Slope_Theta_channel12,1.04407566383129,0.04313196176845169
Slope_Alpha_channel63,1.0436837660375315,0.04275653748081137
Slope_Theta_channel107,1.0434298539918696,0.042513223418291855
Slope_Gamma_channel46,1.0433269096129796,0.04241455894453147
Slope_Alpha_channel82,1.0431962287480754,0.042289297103267724
Slope_Delta_channel38,1.0425414280516727,0.04166141303953597
Slope_Delta_channel33,1.0425091177442667,0.04163042069023896
Slope_Alpha_channel90,1.0424004408090115,0.04152616970735315
Slope_Alpha_channel80,1.0417253611494177,0.04087833963628032
Slope_Beta_channel28,1.0414189783102086,0.040584185423713594
Slope_Theta_channel3,1.0410928037526843,0.0402709343170443
Slope_Delta_channel82,1.0409746560581623,0.04015744357101477
Slope_Alpha_channel87,1.0399945747619257,0.03921549656460356
Slope_Theta_channel44,1.0399467758464445,0.03916953477296379
Slope_Theta_channel66,1.0395549475559773,0.038792686520620775
Slope_Beta_channel71,1.0380813725198907,0.037374175235523985
Slope_Beta_channel18,1.0380546678296005,0.03734844985937059
Slope_Theta_channel54,1.0378469405429593,0.03714831774665705
Slope_Theta_channel40,1.0378424320677413,0.03714397367159708
Slope_Alpha_channel39,1.03776531534113,0.03706966606049552
Slope_Theta_channel48,1.0375154284531558,0.03682884381036959
Slope_Delta_channel112,1.037193119649811,0.03651814107939324
Slope_Beta_channel20,1.0370078367289788,0.03633948633453327
Slope_Alpha_channel40,1.0368652287085418,0.036201958128937436
Slope_Alpha_channel108,1.0367593520276084,0.03609984062704324
Slope_Gamma_channel108,1.0365942581515084,0.03594058764131201
Slope_Gamma_channel3,1.0360020918955444,0.03536916303944624
Slope_Gamma_channel11,1.0357879446304321,0.03516243623595788
Slope_Theta_channel15,1.0352794308253843,0.034671371752693886
Slope_Delta_channel36,1.0347555430977884,0.03416520857634122
Slope_Theta_channel36,1.0343886174333237,0.033810544386856434
Slope_Theta_channel14,1.0341196482947923,0.03355048341006127
Slope_Beta_channel102,1.0338288802545947,0.03326926940681149
Slope_Beta_channel113,1.0335131838929754,0.032963856606919265
Slope_Delta_channel66,1.033071429340537,0.0325363352208235
Slope_Alpha_channel85,1.0328882101996812,0.03235896569449826
Slope_Theta_channel42,1.03273989497858,0.03221536267032931
Slope_Delta_channel13,1.0319896536729565,0.03148864149841415
Slope_Alpha_channel70,1.0319196451347026,0.03142080078630407
Slope_Theta_channel29,1.0313162852843882,0.03083593324050572
Slope_Theta_channel103,1.0311820425893077,0.030705758400162094
Slope_Beta_channel52,1.0304295827080738,0.02997578588214398
Slope_Delta_channel104,1.0304010802812609,0.029948124777011198
Slope_Beta_channel67,1.0301778132637243,0.029731421578594784
Slope_Theta_channel113,1.0292647076521653,0.028844671244833413
Slope_Theta_channel35,1.0286912735801967,0.02828738615998352
Slope_Alpha_channel5,1.028408688027348,0.02801264447518414
Slope_Beta_channel100,1.0283212240272601,0.027927592957599886
Slope_Theta_channel112,1.028249267302338,0.027857615560515935
Slope_Delta_channel102,1.0282487148380703,0.027857078274048926
Slope_Beta_channel84,1.028149647068935,0.02776072751726275
Slope_Theta_channel64,1.0281227458954816,0.027734562527111494
Slope_Alpha_channel67,1.0278129385437387,0.02743318407793843
Slope_Gamma_channel105,1.0276174782138727,0.027242994880715847
Slope_Beta_channel17,1.0275211271520284,0.02714922888200085
Slope_Delta_channel90,1.026838134098643,0.026484308104577182
Slope_Beta_channel29,1.0268227840463922,0.0264693591399107
Slope_Theta_channel49,1.0266657049943637,0.026316371623133224
Slope_Beta_channel79,1.026367663113791,0.026026028672749425
Slope_Beta_channel70,1.0260387486616531,0.025705512762190248
Slope_Delta_channel46,1.0259212285785022,0.025590968536588484
Slope_Beta_channel97,1.0250520240954952,0.024743366517486504
Slope_Gamma_channel10,1.0246465253370658,0.024347699785096214
Slope_Beta_channel94,1.0242630433856474,0.02397337193602936
Slope_Beta_channel60,1.0236386861149063,0.02336361876175174
Slope_Gamma_channel47,1.022714685989899,0.022460548744227753
Slope_Theta_channel8,1.02270426884659,0.02245036291576005
Slope_Alpha_channel14,1.0224444456936101,0.02219627561880176
Slope_Theta_channel99,1.0223935014753174,0.022146448473942898
Slope_Theta_channel79,1.021567463949312,0.021338177097972796
Slope_Gamma_channel96,1.0214930435758864,0.02126532524342974
Slope_Theta_channel77,1.0214904216384757,0.021262758470418114
Slope_Alpha_channel98,1.0214451883639717,0.021218475846638957
Slope_Delta_channel83,1.021434485140021,0.021207997281416098
Slope_Beta_channel13,1.0213167609626082,0.021092736867043174
Slope_Theta_channel57,1.02071488399153,0.020503248462204336
Slope_Theta_channel21,1.0192891974460236,0.019105519123732484
Slope_Alpha_channel96,1.0190621291244562,0.018882723063458735
Slope_Beta_channel16,1.0190466196793697,0.018867503615433063
Slope_Delta_channel3,1.018998649708039,0.01882042912492967
Slope_Alpha_channel79,1.0189459474386584,0.018768708121850188
Slope_Theta_channel70,1.0187632567241536,0.018589398223636
Slope_Delta_channel56,1.018675323939044,0.018503081231311697
Slope_Theta_channel28,1.018401123084829,0.01823387105388173
Slope_Delta_channel4,1.0183857586665555,0.018218784135940875
Slope_Beta_channel38,1.0183569271429789,0.018190472730892648
Slope_Beta_channel56,1.0182827695663736,0.01811764926903251
Slope_Theta_channel11,1.0179658998000547,0.01780642031783044
Slope_Theta_channel43,1.0177675672380195,0.01761156910977799
Slope_Delta_channel94,1.0174176575084712,0.017267708778304035
Slope_Gamma_channel25,1.01714115233887,0.016995900295830917
Slope_Beta_channel111,1.0169421663363143,0.01680024852349326
Slope_Beta_channel112,1.0168944693526052,0.0167533450673545
Slope_Theta_channel101,1.016612136001343,0.016475663792719704
Slope_Theta_channel69,1.0165320321745537,0.016396865812640927
Slope_Delta_channel10,1.0161019617372782,0.01597370016158781
Slope_Delta_channel91,1.0158907068858705,0.01576577140728574
Slope_Delta_channel28,1.0155101671398845,0.015391113942771489
Slope_Beta_channel26,1.0151969732565271,0.015082655987795637
Slope_Gamma_channel101,1.015160183453775,0.015046416252698232
Slope_Theta_channel91,1.0148011897927292,0.014692721182910623
